*plausible-----------------a| apparently reasonable and valid  
*previous(p)---------------s| too soon or too hasty; "our condemnation of him was a bit previous"; "a premature judgment"  
*previously----------------r| at an earlier time or formerly; "she had previously lived in Chicago"; "he was previously president of a bank"; "better than anything previously proposed"; "a previously unquestioned attitude"; "antecedently arranged"  
*prewar--------------------a| existing or belonging to a time before a war; "prewar levels of industrial production"  
*prey----------------------v| profit from in an exploitatory manner; "He feeds on her insecurity"  
*priapic-------------------s| overly concerned with masculinity and male sexuality; "priapic episodes"; "priapic victories"  
*price---------------------v| ascertain or learn the price of; "Have you priced personal computers lately?"  
*price---------------------v| determine the price of; "The grocer priced his wares high"  
*price-controlled----------s| having the price regulated or controlled by government  
*prick---------------------v| cause a stinging pain; "The needle pricked his skin"  
*prick---------------------v| to cause a sharp emotional pain; "The thought of her unhappiness pricked his conscience"  
*prick_up------------------v| raise; "The dog pricked up his ears"  
*prickle-------------------v| cause a prickling sensation  
*prickle-------------------v| make a small hole into, as with a needle or a thorn; "The nurse pricked my finger to get a small blood sample"  
*prickling-----------------s| causing or experiencing a painful shivering feeling as from many tiny pricks; "a prickling blush of embarrassment"; "the tingling feeling in a foot that has gone to sleep"; "a stinging nettle"; "the stinging windblown sleet"  
*pride---------------------v| be proud of; "He prides himself on making it into law school"  
*priest-ridden-------------s| ruled by or oppressed by a priest  
*priestly------------------a| associated with the priesthood or priests; "priestly (or sacerdotal) vestments"; "hieratic gestures"  
*priestly------------------a| befitting or characteristic of a priest or the priesthood; "priestly dedication to the people of his parish"  
*priggish------------------s| exaggeratedly proper; "my straitlaced Aunt Anna doesn't approve of my miniskirts"  
*priggishly----------------r| in a priggish manner; "this professor acts so priggishly--like a moderator with a gavel!"  
*prim----------------------v| assume a prim appearance; "They mince and prim"  
*prim----------------------v| contract one's lips; "She primmed her lips after every bite of food"  
*prim----------------------v| dress primly  
*prima_facie---------------r| at first sight  
*prima_facie---------------s| as it seems at first sight; "a prima facie case of murder"  
*primarily-----------------r| of primary import; "this is primarily a question of economics"; "it was in the first place a local matter"  
*primary-------------------a| of first rank or importance or value; direct and immediate rather than secondhand; "primary goals"; "a primary effect"; "primary sources"; "a primary interest"  
*primary-------------------s| not derived from or reducible to something else; basic; "a primary instinct"  
*prime---------------------a| of or relating to or being an integer that cannot be factored into other integers; "prime number"  
*prime---------------------s| at the best stage; "our manhood's prime vigor"- Robert Browning  
*prime---------------------v| cover with a primer; apply a primer to  
*prime---------------------v| fill with priming liquid; "prime a car engine"  
*prime---------------------v| insert a primer into (a gun, mine, charge, etc.) preparatory to detonation or firing; "prime a cannon"; "prime a mine"  
*prime(a)------------------s| used of the first or originating agent; "prime mover"  
*primiparous---------------a| of or relating to a woman who has given birth only once  
*primitive-----------------s| of or created by one without formal training; simple or naive in style; "primitive art such as that by Grandma Moses is often colorful and striking"  
*primitive-----------------s| used of preliterate or tribal or nonindustrial societies; "primitive societies"  
*primitively---------------r| in a primitive style or manner; "rather primitively operated foundries"  
*primitively---------------r| with reference to the origin or beginning  
*primly--------------------r| in a prissy manner; "the new teacher alienates the children by behaving prissily"  
*primo---------------------s| the best of its kind  
*princely------------------s| having the rank of or befitting a prince; "a princely bearing"; "princely manner"  
*principled----------------a| based on or manifesting objectively defined standards of rightness or morality; "principled pragmatism and unprincipled expediency"; "a principled person"  
*prink---------------------v| dress very carefully and in a finicky manner  
*print---------------------v| make into a print;  "print the negative"  
*print---------------------v| put into print; "The newspaper published the news of the royal couple's divorce"; "These news should not be printed"  
*print---------------------v| reproduce by printing  
*print---------------------v| write as if with print; not cursive  
*printable-----------------a| fit for publication because free of material that is morally or legally objectionable; "printable language"  
*printed-------------------s| written in print characters or produced by means of e.g. a printing press  
*prioritize----------------v| assign a priority to; "we have too many things to do and must prioritize"  
*prismatic-----------------a| of or relating to or resembling or constituting a prism; "prismatic form"  
*prismatic-----------------s| exhibiting spectral colors formed by refraction of light through a prism; "prismatic light"  
*prisonlike----------------s| resembling a prison  
*pristine------------------s| completely free from dirt or contamination; "pristine mountain snow"  
*pristine------------------s| immaculately clean and unused; "handed her his pristine white handkerchief"  
*private-------------------a| confined to particular persons or groups or providing privacy; "a private place"; "private discussions"; "private lessons"; "a private club"; "a private secretary"; "private property"; "the former President is now a private citizen"; "public figures struggle to maintain a private life"  
*private-------------------s| concerning things deeply private and personal; "private correspondence"; "private family matters"  
*privately-----------------r| by a private person or interest; "a privately financed campaign"  
*privately-----------------r| kept private or confined to those intimately concerned; "it was discussed privately between the two men"; "privately, she thought differently"; "some member of his own party hoped privately for his defeat"; "he was questioned in private"  
*privatize-----------------v| change from governmental to private control or ownership; "The oil industry was privatized"  
*privilege-----------------v| bestow a privilege upon  
*privileged----------------a| blessed with privileges; "the privileged few"  
*privileged----------------s| not subject to usual rules or penalties; "a privileged statement"  
*privily-------------------r| confidentially or in secret; "told her friend privily that she was planning to be married"  
*privy---------------------s| hidden from general view or use; "a privy place to rest and think"; "a secluded romantic spot"; "a secret garden"  
*privy(p)------------------s| (followed by `to') informed about something secret or not generally known; "privy to the details of the conspiracy"  
*prize---------------------v| hold dear; "I prize these old photographs"  
*prizefight----------------v| box for a prize or money  
*pro-----------------------a| in favor of (an action or proposal etc.); "a pro vote"  
*pro-----------------------r| on the affirmative side  
*pro-American--------------a| supporting the United States and its policies  
*pro-choice----------------a| advocating a woman's right to control her own body (especially her right to an induced abortion)  
*pro-life------------------a| advocating full legal protection of embryos and fetuses (especially opposing the legalization of induced abortions)  
*pro_bono------------------s| done for the public good without compensation  
*pro_forma-----------------s| as a formality only; "a one-candidate pro forma election"  
*pro_tem-------------------r| for the time being; temporarily; "accepting pro tem that hypothesis consistent with the facts"- J.W.Krutch  
*pro_tem-------------------s| for the time being; "he is the president pro tem"; "designated him to act as consul protempore"- H.H.Fiske  
*proactive-----------------a| descriptive of any event or stimulus or process that has an effect on events or stimuli or processes that occur subsequently; "proactive inhibition"; "proactive interference"  
*proactive-----------------s| (of a policy or person or action) controlling a situation by causing something to happen rather than waiting to respond to it after it happens  
*probabilistic-------------a| of or relating to or based on probability; "probabilistic quantum theory"  
*probabilistic-------------a| of or relating to the Roman Catholic philosophy of probabilism  
*probabilistically---------r| by the use of probability theory; "we can calculate the position of the particles probabilistically"  
*probable------------------a| likely but not certain to be or become true or real; "a likely result"; "he foresaw a probable loss"  
*probable------------------s| apparently destined; "the probable consequences of going ahead with the scheme"  
*probably------------------r| with considerable certainty; without much doubt; "He is probably out of the country"; "in all likelihood we are headed for war"  
*probate-------------------v| establish the legal validity of (wills and other documents)  
*probate-------------------v| put a convicted person on probation by suspending his sentence  
*probationary--------------s| under terms not final or fully worked out or agreed upon; "probationary employees"; "a provisional government"; "just a tentative schedule"  
*probative-----------------s| tending to prove a particular proposition or to persuade you of the truth of an allegation  
*probe---------------------v| examine physically with or as if with a probe; "probe an anthill"  
*probe---------------------v| question or examine thoroughly and closely  
*problematically-----------r| in such a way as to pose a problem  
*procedural----------------a| of or relating to procedure; "a procedural violation"  
*proceed-------------------v| follow a certain course; "The inauguration went well"; "how did your interview go?"  
*proceed-------------------v| move ahead; travel onward in time or space; "We proceeded towards Washington"; "She continued in the direction of the hills"; "We are moving ahead in time now"  
*process-------------------v| deal with in a routine way; "I'll handle that one"; "process a loan"; "process the applicants"  
*process-------------------v| perform mathematical and logical operations on (data) according to programmed instructions in order to obtain the required information; "The results of the elections were still being processed when he gave his acceptance speech"  
*process-------------------v| subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition; "process cheese"; "process hair"; "treat the water so it can be drunk"; "treat the lawn with chemicals" ; "treat an oil spill"  
*processed-----------------a| prepared or converted from a natural state by subjecting to a special process; "processed ores"  
*processed-----------------s| subjected to a special process or treatment; "prepared ergot"; "processed cheeses are easy to spread"  
*processional--------------a| intended for use in a procession; "processional music"; "processional cross"  
*processional--------------a| of or relating to or characteristic of a procession; "in good processional order"  
*proclaim------------------v| declare formally; declare someone to be something; of titles; "He was proclaimed King"  
*proclaim------------------v| state or announce; "`I am not a Communist,' " he exclaimed; "The King will proclaim an amnesty"  
*proconsular---------------a| of or relating to or typical of a proconsul; "proconsular offices"  
*procrastinate-------------v| postpone doing what one should be doing; "He did not want to write the letter and procrastinated for days"  
*procrastinate-------------v| postpone or delay needlessly; "He procrastinated the matter until it was almost too late"  
*procumbent----------------s| having stems that trail along the ground without putting down roots  
*procure-------------------v| get by special effort; "He procured extra cigarettes even though they were rationed"  
*prod----------------------v| urge on; cause to act; "They other children egged the boy on, but he did not want to throw the stone through the window"  
*prodigal------------------s| marked by rash extravagance; "led a prodigal life"  
*prodigiously--------------r| to a prodigious degree; "the prices of farms rose prodigiously"  
*prodromal-----------------a| symptomatic of the onset of an attack or a disease  
*produce-------------------v| bring forth or yield; "The tree would not produce fruit"  
*produce-------------------v| bring onto the market or release; "produce a movie"; "bring out a book"; "produce a new play"  
*produce-------------------v| bring out for display; "The proud father produced many pictures of his baby"; "The accused brought forth a letter in court that he claims exonerates him"  
*produce-------------------v| cause to occur or exist; "This procedure produces a curious effect"; "The new law gave rise to many complaints"; "These chemicals produce a noxious vapor"  
*produce-------------------v| create or manufacture a man-made product; "We produce more cars than we can sell"; "The company has been making toys for two centuries"  
*produced------------------a| that is caused by; "if...such a change is produced by...insulin comas or electroshocks"; "the emotional states produced by this drug"  
*productive----------------a| producing or capable of producing (especially abundantly); "productive farmland"; "his productive years"; "a productive collaboration"  
*productive----------------s| yielding positive results  
*productively--------------r| in a productive way; "they worked together productively for two years"  
*profanatory---------------s| profaning or tending to desecrate  
*profane-------------------a| not sacred or concerned with religion; "sacred and profane music"; "children being brought up in an entirely profane environment"  
*profane-------------------s| not holy because unconsecrated or impure or defiled  
*profaned------------------s| treated irreverently or sacrilegiously  
*profanely-----------------r| in an irreverent or profane manner; "he kept wondering profanely why everything bad happened to him"  
*profanely-----------------r| with curses; "muttering profanely"  
*profess-------------------v| confess one's faith in, or allegiance to; "The terrorists professed allegiance to the Muslim faith"; "he professes to be a Communist"  
*profess-------------------v| practice as a profession, teach, or claim to be knowledgeable about; "She professes organic chemistry"  
*profess-------------------v| receive into a religious order or congregation  
*profess-------------------v| state freely; "The teacher professed that he was not generous when it came to giving good grades"  
*profess-------------------v| state insincerely; "He professed innocence but later admitted his guilt"; "She pretended not to have known the suicide bomber"; "She pretends to be an expert on wine"  
*profess-------------------v| take vows, as in religious order; "she professed herself as a nun"  
*professed(a)--------------s| claimed with intent to deceive; "his professed intentions"  
*professed(a)--------------s| professing to be qualified; "a professed philosopher"  
*professedly---------------r| with pretense or intention to deceive; "is only professedly poor"  
*professional--------------a| characteristic of or befitting a profession or one engaged in a profession; "professional conduct"; "professional ethics"; "a thoroughly professional performance"  
*professional--------------a| engaged in a profession or engaging in as a profession or means of livelihood; "the professional man or woman possesses distinctive qualifications"; "began her professional career after the Olympics"; "professional theater"; "professional football"; "a professional cook"; "professional actors and athletes"  
*professional--------------a| of or relating to a profession; "we need professional advice"; "professional training"; "professional equipment for his new office"  
*professional--------------a| of or relating to or suitable as a profession; "professional organizations"; "a professional field such as law"  
*professional--------------s| engaged in by members of a profession; "professional occupations include medicine and the law and teaching"  
*professionalize-----------v| become professional or proceed in a professional manner or in an activity for pay or as a means of livelihood  
*professionalize-----------v| make professional or give a professional character to; "Philosophy has not always been professionalized and used to be a subject pursued only by amateurs"  
*professionally------------r| in a professional manner; "professionally trained staff"  
*professorial--------------a| relating to or characteristic of professors; "professorial demeanor"  
*professorially------------r| in a professorial manner; "she behaved very professorially"  
*proficiently--------------r| in a proficient manner; "he dealt proficiently with the problem"  
*profile-------------------v| represent in profile, by drawing or painting  
*profile-------------------v| write about; "The author of this article profiles a famous painter"  
*profit--------------------v| derive a benefit from; "She profited from his vast experience"  
*profit--------------------v| make a profit; gain money or materially; "The company has not profited from the merger"  
*profit-maximizing---------s| making the profit as great as possible; "the profit-maximizing price"  
*profitable----------------a| yielding material gain or profit; "profitable speculation on the stock market"  
*profitable----------------s| promoting benefit or gain; "a profitable meeting to resolve difficulties"  
*profitable----------------s| providing profit; "a profitable conversation"  
*profiteer-----------------v| make an unreasonable profit, as on the sale of difficult to obtain goods  
*profitless----------------s| without profit or reward; "let us have no part in profitless quarrels"- D.D.Eisenhower; "How weary, flat, stale, and unprofitable / Seem to me all the uses of this world"- Shakespeare  
*profitlessly--------------r| without gain or profit  
*profound------------------a| showing intellectual penetration or emotional depths; from the depths of your being; "the differences are profound"; "a profound insight"; "a profound book"; "a profound mind"; "profound contempt"; "profound regret"  
*profound------------------s| coming from deep within one; "a profound sigh"  
*profound------------------s| of the greatest intensity; complete; "a profound silence"; "a state of profound shock"  
*profound------------------s| situated at or extending to great depth; too deep to have been sounded or plumbed; "the profound depths of the sea"; "the dark unfathomed caves of ocean"-Thomas Gray; "unplumbed depths of the sea"; "remote and unsounded caverns"  
*profoundly----------------r| to a great depth psychologically; "They felt the loss deeply"  
*profoundly_deaf-----------s| totally deaf; unable to hear anything  
*progestational------------a| of or relating to progesterone (or to a drug with progesterone-like effects)  
*progestational------------a| preceding and favoring gestation; of or relating to physiological changes associated with ovulation and formation of the corpus luteum  
*prognathous---------------a| having a projecting lower jaw  
*program-------------------v| arrange a program of or for; "program the 80th birthday party"  
*program-------------------v| write a computer program  
*progress------------------v| develop in a positive way; "He progressed well in school"; "My plants are coming along"; "Plans are shaping up"  
*progressive---------------a| (of taxes) adjusted so that the rate increases as the amount increases  
*progressive---------------a| favoring or promoting progress; "progressive schools"  
*progressive---------------s| advancing in severity; "progressive paralysis"  
*progressive---------------s| favoring or promoting reform (often by government action)  
*progressive---------------s| gradually advancing in extent  
*prohibitive---------------s| tending to discourage (especially of prices); "the price was prohibitive"  
*prohibitively-------------r| to a prohibitive degree; "it is prohibitively expensive"  
*proinflammatory-----------s| tending to cause inflammation  
*project-------------------v| cause to be heard; "His voice projects well"  
*project-------------------v| communicate vividly; "He projected his feelings"  
*project-------------------v| draw a projection of  
*project-------------------v| present for consideration  
*project-------------------v| project on a screen; "The images are projected onto the screen"  
*project-------------------v| put or send forth; "She threw the flashlight beam into the corner"; "The setting sun threw long shadows"; "cast a spell"; "cast a warm light"  
*project-------------------v| regard as objective  
*project-------------------v| throw, send, or cast forward; "project a missile"  
*project-------------------v| transfer (ideas or principles) from one domain into another  
*projected-----------------s| planned for the future; "the first volume of a proposed series"  
*projectile----------------s| impelling or impelled forward; "a projectile force"; "a projectile missile"  
*prokaryotic---------------a| having cells that lack membrane-bound nuclei  
*prolapse------------------v| slip or fall out of place, as of body parts; "prolapsed rectum"  
*prolate-------------------a| having the polar diameter greater than the equatorial diameter; "a prolate spheroid is generated by revolving an ellipse about its major axis"  
*proletarian---------------a| the lowest class of citizens of ancient Rome who had no property  
*proletarian---------------s| belonging to or characteristic of the proletariat  
*proliferate---------------v| cause to grow or increase rapidly; "We must not proliferate nuclear arms"  
*proliferate---------------v| grow rapidly; "Pizza parlors proliferate in this area"  
*prolific------------------s| bearing in abundance especially offspring; "flying foxes are extremely prolific"; "a prolific pear tree"  
*prolix--------------------a| tediously prolonged or tending to speak or write at great length; "editing a prolix manuscript"; "a prolix lecturer telling you more than you want to know"  
*prologize-----------------v| write or speak a prologue  
*prolong-------------------v| lengthen in time; cause to be or last longer; "We prolonged our stay"; "She extended her visit by another day"; "The meeting was drawn out until midnight"  
*prolong-------------------v| lengthen or extend in duration or space; "We sustained the diplomatic negociations as long as possible"; "prolong the treatment of the patient"; "keep up the good work"  
*prolonged-----------------s| (of illness) developing slowly or of long duration  
*prolusory-----------------a| of or relating to or having the character of a prolusion  
*promenade-----------------v| take a leisurely walk; "The ladies promenaded along the beach"  
*prominently---------------r| in a prominent way; "the new car was prominently displayed in the driveway"  
*promiscuous---------------s| not selective of a single class or person; "Clinton was criticized for his promiscuous solicitation of campaign money"  
*promiscuously-------------r| in an indiscriminate manner; "she reads promiscuously"  
*promise-------------------v| give grounds for expectations; "The new results were promising"; "The results promised fame and glory"  
*promise-------------------v| make a promise or commitment  
*promise-------------------v| promise to undertake or give; "I promise you my best effort"  
*promised------------------s| assured by (usually) spoken agreement; "the promised toy"; "the promised land"  
*promising-----------------s| showing possibility of achievement or excellence; "a promising young man"  
*promisingly---------------r| in an auspicious manner; "the afternoon had begun so promisingly"  
*promissory----------------a| relating to or having the character of a promise; "promissory note"  
*promote-------------------v| be changed for a superior chess or checker piece  
*promote-------------------v| change a pawn for a king by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it the row closest to your opponent  
*promote-------------------v| contribute to the progress or growth of; "I am promoting the use of computers in the classroom"  
*promote-------------------v| give a promotion to or assign to a higher position; "John was kicked upstairs when a replacement was hired"; "Women tend not to advance in the major law firms"; "I got promoted after many years of hard work"  
*promotional---------------a| of or relating to advancement; "promotional exams"  
*promotional---------------a| of or relating to serving as publicity; "promotional fares"  
*promotive-----------------s| tending to further or encourage  
*prompt--------------------s| quick in apprehending or reacting; "a prompt (or ready) response"; "a prompt smile"  
*prompt--------------------v| assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned  
*prompt--------------------v| serve as the inciting cause of; "She prompted me to call my relatives"  
*promptly------------------r| at once (usually modifies an undesirable occurrence); "he promptly forgot the address"  
*promptly------------------r| in a punctual manner; "he did his homework promptly"  
*promptly------------------r| with little or no delay; "the rescue squad arrived promptly"; "come here, quick!"  
*promulgate----------------v| put a law into effect by formal declaration  
*promulgated---------------s| formally made public; "published accounts"  
*pronate-------------------v| turn the forearm or the hand so that the palm is directed downwards  
*prone---------------------s| having a tendency (to); often used in combination; "a child prone to mischief"; "failure-prone"  
*prone---------------------s| lying face downward  
*pronged-------------------s| having prongs or tines; usually used in combination; "a three-tined fork"  
*pronk---------------------v| jump straight up; "kangaroos pronk"  
*pronominal----------------a| relating to pronouns; "pronominal reference"  
*pronounce-----------------v| pronounce judgment on; "They labeled him unfit to work here"  
*pronounce-----------------v| speak, pronounce, or utter in a certain way; "She pronounces French words in a funny way"; "I cannot say `zip wire'"; "Can the child sound out this complicated word?"  
*pronounceable-------------a| capable of being uttered or pronounced; "a pronounceable group of letters"  
*pronounced----------------s| produced by the organs of speech  
*proof---------------------v| activate by mixing with water and sometimes sugar or milk; "proof yeast"  
*proof---------------------v| knead to reach proper lightness; "proof dough"  
*proof---------------------v| make or take a proof of, such as a photographic negative, an etching, or typeset  
*proof---------------------v| make resistant to water, sound, errors, etc.; "proof the materials against shrinking in the dryer"  
*proof(p)------------------s| (used in combination or as a suffix) able to withstand; "temptation-proof"; "childproof locks"  
*proofed-------------------s| treated so as to become resistant; "rust-proofed automobiles"; "shrink-proofed fabrics"  
*proofread-----------------v| read for errors; "I should proofread my manuscripts"  
*prop_up-------------------v| support by placing against something solid or rigid; "shore and buttress an old building"  
*propagandist--------------a| of or relating to or characterized by propaganda  
*propagandize--------------v| spread by propaganda  
*propagandize--------------v| subject to propaganda  
*propagate-----------------v| cause to propagate, as by grafting or layering  
*propagate-----------------v| multiply sexually or asexually  
*propagate-----------------v| transmit from one generation to the next; "propagate these characteristics"  
*propagate-----------------v| transmit or cause to broaden or spread; "This great civilization was propagated throughout the land"  
*propagate-----------------v| transmit; "propagate sound or light through air"  
*propagate-----------------v| travel through the air; "sound and light propagate in this medium"  
*propagative---------------a| characterized by propagation or relating to propagation  
*propel--------------------v| cause to move forward with force; "Steam propels this ship"  
*propellant----------------s| tending to or capable of propelling; "propellant fuel for submarines"; "the faster a jet plane goes the greater its propulsive efficiency"; "universities...the seats of propulsive thought"  
*proper--------------------a| marked by suitability or rightness or appropriateness; "proper medical treatment"; "proper manners"  
*proper--------------------s| appropriate for a condition or occasion; "everything in its proper place"; "the right man for the job"; "she is not suitable for the position"  
*proper(a)-----------------s| having all the qualities typical of the thing specified; "wanted a proper dinner; not just a snack"; "he finally has a proper job"  
*proper(ip)----------------s| limited to the thing specified; "the city proper"; "his claim is connected with the deed proper"  
*properly------------------r| in the right manner; "please do your job properly!"; "can't you carry me decent?"  
*properly_speaking---------r| in actual fact; "properly speaking, they are not husband and wife"  
*propertied----------------s| owning land or securities as a principal source of revenue  
*propertyless--------------s| of those who work for wages especially manual or industrial laborers; "party of the propertyless proletariat"- G.B.Shaw  
*prophesy------------------v| predict or reveal through, or as if through, divine inspiration  
*prophetic-----------------a| foretelling events as if by supernatural intervention; "prophetic writings"; "prophetic powers"; "words that proved prophetic"  
*prophetically-------------r| in a prophetic manner; "he prophetically anticipated the disaster"  
*propitiate----------------v| make peace with  
*propitiative--------------s| intended to reconcile or appease; "sent flowers as a propitiatory gesture"  
*propitious----------------a| presenting favorable circumstances; "propitious omens"  
*proportion----------------v| adjust in size relative to other things  
*proportion----------------v| give pleasant proportions to; "harmonize a building with those surrounding it"  
*proportionable------------s| proportionate  
*proportional--------------s| properly related in size or degree or other measurable characteristics; usually followed by `to'; "punishment oughtt to be proportional to the crime"; "earnings relative to production"  
*proportionate-------------a| being in due proportion  
*proportionately-----------r| in proportion  
*proportionately-----------r| to a proportionate degree; "the height of this wall must be reduced proportionately to give the room pleasant dimensions"  
*proportionately-----------r| to a proportionate degree; "your salary will rise proportionately to your workload"  
*propose-------------------v| ask (someone) to marry you; "he popped the question on Sunday night"; "she proposed marriage to the man she had known for only two months"; "The old bachelor finally declared himself to the young woman"  
*propose-------------------v| make a proposal, declare a plan for something  
*proposition---------------v| suggest sex to; "She was propositioned by a stranger at the party"  
*propound------------------v| put forward, as of an idea  
*proprietary---------------a| protected by trademark or patent or copyright; made or produced or distributed by one having exclusive rights; "`Tylenol' is a proprietary drug of which `acetaminophen' is the generic form"  
*proprioceptive------------a| of or relating to proprioception  
*propulsive----------------a| having the power to propel; "propulsive coefficient"  
*prorate-------------------v| divide or assess proportionally; "The rent was prorated for the rest of the month"  
*prorate-------------------v| make a proportional settlement or distribution  
*prorogue------------------v| adjourn by royal prerogative; without dissolving the legislative body  
*prosaically---------------r| in a matter-of-fact manner; "I applied my attention prosaically to my routine"  
*prosecute-----------------v| bring a criminal action against (in a trial); "The State of California prosecuted O.J. Simpson"  
*prosecute-----------------v| carry out or participate in an activity; be involved in; "She pursued many activities"; "They engaged in a discussion"  
*prosecute-----------------v| conduct a prosecution in a court of law  
*proselytize---------------v| convert to another faith or religion  
*prosily-------------------r| in a prosy manner; "somewhat prosily and repetitively expounded"  
*prosodic------------------a| of or relating to the rhythmic aspect of language or to the suprasegmental phonemes of pitch and stress and juncture and nasalization and voicing  
*prospect------------------v| explore for useful or valuable things or substances, such as minerals  
*prospect------------------v| search for something desirable; "prospect a job"  
*prospective---------------a| concerned with or related to the future; "prospective earnings"; "a prospective mother"; "the statute is solely prospective in operation"  
*prospective(a)------------s| anticipated for the near future; "the prospective students"; "his prospective bride"  
*prosperously--------------r| in the manner of prosperous people  
*prostate------------------a| relating to the prostate gland  
*prosthetic----------------a| of or relating to prosthetics  
*prosthetic----------------a| relating to or serving as a prosthesis  
*prosthodontic-------------a| of or relating to prosthodontics  
*prostitute----------------v| sell one's body; exchange sex for money  
*prostrate-----------------v| get into a prostrate position, as in submission  
*prostrate-----------------v| render helpless or defenseless; "They prostrated the enemy"  
*prostrate-----------------v| throw down flat, as on the ground; "She prostrated herself with frustration"  
*prostyle------------------s| marked by columniation having free columns in a portico only across the opening to the structure  
*protanopic----------------s| inability to see the color red or to distinguish red and bluish-green  
*protean-------------------s| taking on different forms; "eyes...of that baffling protean gray which is never twice the same"  
*protect-------------------v| shield from danger, injury, destruction, or damage; "Weatherbeater protects your roof from the rain"  
*protect-------------------v| use tariffs to favor domestic industry  
*protected-----------------a| kept safe or defended from danger or injury or loss; "the most protected spot I could find"  
*protected-----------------s| guarded from injury or destruction  
*protecting(a)-------------s| shielding (or designed to shield) against harm or discomfort; "the protecting blanket of snow"; "a protecting alibi"  
*protective----------------a| intended or adapted to afford protection of some kind; "a protective covering"; "the use of protective masks and equipment"; "protective coatings"; "kept the drunken sailor in protective custody"; "animals with protective coloring"; "protective tariffs"  
*protective(p)-------------s| (usually followed by `of') solicitously caring or mindful; "protective of his reputation"  
*protectively--------------r| in a protective manner; "he bent protectively over the woman"  
*proteinaceous-------------a| relating to or of the nature of protein  
*proteolytic---------------a| of or relating to proteolysis  
*proterozoic---------------s| formed in the later of two divisions of the Precambrian era; "proterozoic life forms"  
*protest-------------------v| affirm or avow formally or solemnly; "The suspect protested his innocence"  
*protest-------------------v| express opposition through action or words; "dissent to the laws of the country"  
*protest-------------------v| utter words of protest  
*Protestant----------------a| of or relating to Protestants or Protestantism; "Protestant churches"; "a Protestant denomination"  
*protesting(a)-------------s| making a protest  
*protestingly--------------r| in a protesting manner; "the bed creaked protestingly when the fat man sat down"  
*proto(a)------------------s| indicating the first or earliest or original; "`proto' is a combining form in a word like `protolanguage' that refers to the hypothetical ancestor of another language or group of languages"  
*protogeometric------------s| characteristic of the earliest phase of geometric art especially in Greece  
*protozoal-----------------a| of or relating to the Protozoa  
*protozoological-----------a| concerning the branch of zoology that studies protozoans  
*protractile---------------s| able to be extended; "protractile muscle"  
*protrude------------------v| bulge outward; "His eyes popped"  
*protrusile----------------s| capable of being thrust forward, as the tongue  
*protrusive----------------a| thrusting outward  
*protuberate---------------v| cause to bulge out or project  
*protuberate---------------v| form a rounded prominence; "The starved child's belly protuberated"  
*proud---------------------a| feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride; "proud parents"; "proud of his accomplishments"; "a proud moment"; "proud to serve his country"; "a proud name"; "proud princes"  
*proudly-------------------r| in a proud manner; "he walked proudly into town"  
*Proustian-----------------a| of or relating to or in the manner of Marcel Proust  
*prove---------------------v| be shown or be found to be; "She proved to be right"; "The medicine turned out to save her life"; "She turned up HIV positive"  
*prove---------------------v| establish the validity of something, as by an example, explanation or experiment; "The experiment demonstrated the instability of the compound"; "The mathematician showed the validity of the conjecture"  
*prove---------------------v| obtain probate of; "prove a will"  
*prove---------------------v| prove formally; demonstrate by a mathematical, formal proof  
*prove---------------------v| take a trial impression of  
*prove_oneself-------------v| show one's ability or courage  
*proved--------------------a| established beyond doubt; "a proven liar"; "a Soviet leader of proven shrewdness"  
*proverbial----------------a| of or relating to or resembling or expressed in a proverb; "he kicked the proverbial bucket"; "the proverbial grasshopper"  
*proverbial----------------s| widely known and spoken of; "her proverbial lateness"; "the proverbial absentiminded professor"; "your proverbial dizzy blonde"  
*proverbially--------------r| in the manner of something that has become a byword; "this proverbially bitter plant, wormwood"  
*provide-------------------v| determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation; "The will provides that each child should receive half of the money"; "The Constitution provides for the right to free speech"  
*provide-------------------v| provide what is desired or needed, especially support, food or sustenance; "The hostess provided lunch for all the guests"  
*provide-------------------v| supply means of subsistence; earn a living; "He provides for his large family by working three jobs"; "Women nowadays not only take care of the household but also bring home the bacon"  
*provide-------------------v| take measures in preparation for; "provide for the proper care of the passengers on the cruise ship"  
*provident-----------------a| providing carefully for the future; "wild squirrels are provident"; "a provident father plans for his children's education"  
*provident-----------------s| careful in regard to your own interests; "the prudent use and development of resources"; "wild squirrels are provident"  
*providential--------------a| relating to or characteristic of providence; "assumption that nature operates only according to a providential plan"- M.R.Cohen  
*providential--------------s| resulting from divine providence; "providential care"; "a providential visitation"  
*providentially------------r| in a fortunately providential manner; "providentially the weather remained good"  
*providentially------------r| in a providential manner; as determined by providence; "his providentially destined role"  
*providently---------------r| in a provident manner; "providently, he had saved up some money for emergencies"  
*provincial----------------a| characteristic of the provinces or their people; "deeply provincial and conformist"; "in that well-educated company I felt uncomfortably provincial"; "narrow provincial attitudes"  
*provincial----------------a| of or associated with a province; "provincial government"  
*provincially--------------r| by the province; through the province; "provincially controlled"  
*provision-----------------v| supply with provisions  
