Tue |Thu |      0|30-04-0520| 1500| 215 |   1505|Yes |LQ   4|   N/A   |-- Exact 1500 Years Ago -- 
Wed |Wed |    317|11-03-2009|   11|   2*|     18|No  |O * 14|2009 2028|--- Full Moon * ---- @ Wed-11-Mar-2009 02:38:51a
Mon |Wed |    317|11-03-2013|    7|   2 |     12|No  |. *  0|2009 2028|--- New Moon * ---- @ Mon-11-Mar-2013 07:52:08p
Fri |Fri |    319|13-03-1998|   22|   3*|     29|No  |O * 14|1998 2044|--- Friday The 13th On a Full Moon ---- @ Fri-13-Mar-1998
Fri |Fri |    319|13-03-2020|    0|   0*|      7|Yes |O   18|1998 2044|--- Last -- Friday The 13th ---- @ Fri-13-Mar-2020
Fri |Fri |    319|13-03-2020|    0|   0*|      7|Yes |O   18|1998 2044|2020 COMIC RELIEF -- RED NOSE -- POVERTY -- FRIDAY YEAR
Mon |Sat |    320|14-03-2005|   15|   3 |     18|No  |.    3|1968 2025|Check up Dentist A. Engman
Mon |Sat |    320|14-03-2005|   15|   3 |     18|No  |.    3|1968 2025|Dental surgrey With Dr Engman Mon 10:10am examination
Mon |Sun |    321|15-03-2010|   10|   1 |     12|No  |. *  0|2006 2052|--- New Moon * ---- @ Mon-15-Mar-2010 09:02:21p
Fri |Sun |    321|15-03-2019|    1|   1 |      6|No  |FQ   8|2006 2052|2019 COMIC RELIEF -- RED NOSE -- POVERTY
Mon |Mon |    322|16-03-1998|   22|   3*|     29|No  |O   17|2014 2033|Dr Baker appointment Mill View 10.30 Already in Hosso
Sun |Mon |    322|16-03-2014|    6|   1 |     12|No  |O * 15|2014 2033|--- Full Moon * ---- @ Sun-16-Mar-2014 05:09:39p
Tue |Tue |    323|17-03-1998|   22|   3*|     29|No  |O   18|1995 2041|Karen Dillon dr baker 3pm after care meeting secition 117 new sussex
Wed |Wed |    324|18-03-1998|   22|   3*|     29|No  |O   19|2003 2022|Karen Dillon 01st of 62 2.00pm at aldrington house more like rutland do you fancy me
Mon |Wed |    324|18-03-2019|    1|   1 |      6|No  |FQ  11|2003 2022|--- Event:- St. Edward the martyr Feast day ---- @ Mon-18-Mar-2019
Wed |Wed |    324|18-03-2020|    0|   0*|      7|Yes |LQ  23|2003 2022|--- Last -- Event:- St. Edward the martyr Feast day ---- @ Wed-18-Mar-2020
Mon |Thu |    325|19-03-2007|   13|   3 |     23|No  |. *  0|2011 2030|--- New Moon * ---- @ Mon-19-Mar-2007 02:43:36a
Sat |Thu |    325|19-03-2011|    9|   2 |     12|No  |O * 14|2011 2030|--- Full Moon * ---- @ Sat-19-Mar-2011 06:11:07p
Tue |Thu |    325|19-03-2019|    1|   1 |      6|No  |FQ  12|2011 2030|--- Event:- St Joseph ---- @ Tue-19-Mar-2019
Thu |Thu |    325|19-03-2020|    0|   0*|      7|Yes |LQ  24|2011 2030|--- Last -- Event:- St Joseph ---- @ Thu-19-Mar-2020
Fri |Fri |    326|20-03-2009|   11|   2*|     18|No  |LQ  22|2000 2076|Tribunal Date 2nd WithDrawn
Wed |Fri |    326|20-03-2019|    1|   1 |      6|No  |FQ  13|2000 2076|--- Event:- Spring Begins Diary Book ---- @ Wed-20-Mar-2019
Wed |Fri |    326|20-03-2019|    1|   1 |      6|No  |FQ  13|2000 2076|--- Vernal Equinox ---- @ Wed-20-Mar-2019
Fri |Fri |    326|20-03-2020|    0|   0*|      7|Yes |LQ  25|2000 2076|--- Last -- Event:- Spring Begins Diary Book ---- @ Fri-20-Mar-2020
Fri |Fri |    326|20-03-2020|    0|   0*|      7|Yes |LQ  25|2000 2076|--- Last -- Vernal Equinox ---- @ Fri-20-Mar-2020
Tue |Sat |    327|21-03-1961|   59|   9 |     63|No  |.    4|2019 2038|Birthday Guy Funnell
Thu |Sat |    327|21-03-2002|   18|   3 |     23|No  |.    6|2019 2038|Grandma & Grandads diamond wedding anaversery
Mon |Sat |    327|21-03-2005|   15|   3 |     18|No  |FQ  10|2019 2038|Go back to dentist 2 fillings canceled
Fri |Sat |    327|21-03-2008|   12|   2 |     18|Yes |O * 14|2019 2038|--- Full Moon * ---- @ Fri-21-Mar-2008 06:41:02p
Thu |Sat |    327|21-03-2019|    1|   1 |      6|No  |O * 14|2019 2038|--- Event:- 1st Sign Aries Mar21 Apr19 Fire Sign Ruled by Mars: The Ram ---- @ Thu-21-Mar-2019
Sat |Sat |    327|21-03-2020|    0|   0*|      7|Yes |LQ  26|2019 2038|--- Last -- Event:- 1st Sign Aries Mar21 Apr19 Fire Sign Ruled by Mars: The Ram ---- @ Sat-21-Mar-2020
Thu |Sun |    328|22-03-2012|    8|   2 |     18|Yes |. *  0|1989 2027|--- New Moon * ---- @ Thu-22-Mar-2012 02:38:17p
Fri |Sun |    328|22-03-2019|    1|   1 |      6|No  |O   15|1989 2027|--- Event:- World Water Day ---- @ Fri-22-Mar-2019
Sun |Sun |    328|22-03-2020|    0|   0*|      7|Yes |LQ  27|1989 2027|--- Last -- Event:- World Water Day ---- @ Sun-22-Mar-2020
Tue |Mon |    329|23-03-2004|   16|   2 |     18|Yes |.    2|2016 2035|Karen Dillon 58th of 62 3.30pm hospital canceled
Mon |Mon |    329|23-03-2009|   11|   2*|     18|No  |LQ  25|2016 2035|Offically Moved to 1st New Flat
Wed |Mon |    329|23-03-2011|    9|   2 |     12|No  |O   18|2016 2035|TOBY BIRTHDAY BROTHERS AND JOANNE SON
Tue |Tue |    330|24-03-1998|   22|   3*|     29|No  |LQ  25|1997 2130|Off section from new sussex/freshfield.
Mon |Tue |    330|24-03-2003|   17|   3 |     23|No  |O   20|1997 2130|**Lewes Crown Court Sentance For Intent to supply puff
Thu |Tue |    330|24-03-2005|   15|   3 |     18|No  |FQ  13|1997 2130|Dental surgrey With Dr Engman Thu 2:30pm clean an right filling
Thu |Tue |    330|24-03-2005|   15|   3 |     18|No  |FQ  13|1997 2130|Go back to dentist 2 fillings
Mon |Wed |    331|25-03-2002|   18|   3 |     23|No  |FQ  10|2005 2024|Dr El Sayed 3rd & Karen & Dr baker & justine nurse from aldrington & mum
Mon |Wed |    331|25-03-2002|   18|   3 |     23|No  |FQ  10|2005 2024|Dr Habgood Cristine 11 of 21
Sun |Wed |    331|25-03-2018|    2|   1 |     12|No  |FQ   7|2005 2024|--- British Summer Time Begins - BST ---- @ Sun-25-Mar-2018
Mon |Wed |    331|25-03-2019|    1|   1 |      6|No  |O   18|2005 2024|--- Event:- Annuciation ---- @ Mon-25-Mar-2019
Wed |Wed |    331|25-03-2020|    0|   0*|      7|Yes |.    0|2005 2024|--- Last -- Event:- Annuciation ---- @ Wed-25-Mar-2020
Mon |Thu |    332|26-03-2001|   19|   4 |     29|No  |.    0|1986 2070|Dr Le Seve 12 of 15 10.30am
Thu |Thu |    332|26-03-2009|   11|   2*|     18|No  |. *  0|1986 2070|--- New Moon * ---- @ Thu-26-Mar-2009 04:07:05p
Tue |Thu |    332|26-03-2019|    1|   1 |      6|No  |O   19|1986 2070|--- Event:- Independence Day of Bangladesh ---- @ Tue-26-Mar-2019
Thu |Thu |    332|26-03-2020|    0|   0*|      7|Yes |.    1|1986 2070|--- Last -- Event:- Independence Day of Bangladesh ---- @ Thu-26-Mar-2020
Mon |Fri |    333|27-03-2000|   20|   3 |     24|Yes |O   20|2013 2032|Karen Dillon 20th of 62 home 3.30pm
Wed |Fri |    333|27-03-2002|   18|   3 |     23|No  |FQ  12|2013 2032|Cathy-link-worker Fuller  1 of 16
Thu |Fri |    333|27-03-2008|   12|   2 |     18|Yes |O   19|2013 2032|Dentist Tooth Out
Wed |Fri |    333|27-03-2013|    7|   2 |     12|No  |O * 15|2013 2032|--- Full Moon * ---- @ Wed-27-Mar-2013 09:28:27a
Wed |Fri |    333|27-03-2019|    1|   1 |      6|No  |O   20|2013 2032|--- Event:- World Theatre Day ---- @ Wed-27-Mar-2019
Fri |Fri |    333|27-03-2020|    0|   0*|      7|Yes |.    2|2013 2032|--- Last -- Event:- World Theatre Day ---- @ Fri-27-Mar-2020
Sun |Sun |    335|29-03-2020|    0|   0*|      7|Yes |.    4|1972 2059|--- Last -- British Summer Time Begins - BST ---- @ Sun-29-Mar-2020
Mon |Mon |    336|30-03-2009|   11|   2*|     18|No  |.    3|2010 2029|Really Moved to 1st New Flat
Tue |Mon |    336|30-03-2010|   10|   1 |     12|No  |O * 14|2010 2029|--- Full Moon * ---- @ Tue-30-Mar-2010 02:26:32a
Sun |Mon |    336|30-03-2014|    6|   1 |     12|No  |. *  0|2010 2029|--- New Moon * ---- @ Sun-30-Mar-2014 06:45:46p
Sat |Mon |    336|30-03-2019|    1|   1 |      6|No  |LQ  23|2010 2029|--- Event:- Clocks Go Forward 1 Hours BST - We Get a Hour Rest ---- @ Sat-30-Mar-2019
Mon |Mon |    336|30-03-2020|    0|   0*|      7|Yes |.    5|2010 2029|--- Last -- Event:- Clocks Go Forward 1 Hours BST - We Get a Hour Rest ---- @ Mon-30-Mar-2020
Thu |Tue |    337|31-03-1904|  116|  17 |    119|Yes |O * 14|2018 2037|--- Calendar Blue Moon ---- @ Thu-31-Mar-1904 12:44:13p --- 2nd Full Moon in Month
Wed |Tue |    337|31-03-1915|  105|  15 |    107|No  |O * 15|2018 2037|--- Calendar Blue Moon ---- @ Wed-31-Mar-1915 05:37:31a --- 2nd Full Moon in Month
Sat |Tue |    337|31-03-1934|   86|  13 |     96|No  |O * 15|2018 2037|--- Calendar Blue Moon ---- @ Sat-31-Mar-1934 01:14:57a --- 2nd Full Moon in Month
Mon |Tue |    337|31-03-1980|   40|   6 |     46|Yes |O * 14|2018 2037|--- Calendar Blue Moon ---- @ Mon-31-Mar-1980 03:14:45p --- 2nd Full Moon in Month
Wed |Tue |    337|31-03-1999|   21|   3 |     23|No  |O * 14|2018 2037|--- Calendar Blue Moon ---- @ Wed-31-Mar-1999 10:50:04p --- 2nd Full Moon in Month
Wed |Tue |    337|31-03-2004|   16|   2 |     18|Yes |FQ  10|2018 2037|Karen Dillon 59th of 62 2pm home
Sat |Tue |    337|31-03-2018|    2|   1 |     12|No  |O * 13|2018 2037|--- Last -- Calendar Blue Moon ---- @ Sat-31-Mar-2018 12:38:01p --- 2nd Full Moon in Month
Sun |Tue |    337|31-03-2019|    1|   1 |      6|No  |LQ  24|2018 2037|--- British Summer Time Begins - BST ---- @ Sun-31-Mar-2019
Tue |Tue |    337|31-03-2020|    0|   0*|      7|Yes |.    6|2018 2037|--- -- 4th Quarter Of Year -- ---- @ Sat-01-Oct-2022
Tue |Tue |    337|31-03-2020|    0|   0*|      7|Yes |.    6|2018 2037|--- Pay Day ---- @ Tue-31-Mar-2020
Wed |Wed |    338|01-04-1361|  659|  96*|    666|No  |O   26|   N/A   |Birthday - King Henry IV not sure about day on this one
Sun |Wed |    338|01-04-2018|    2|   1 |     12|No  |O   14|1961 2045|--- -- 2nd Quarter Of Year -- ---- @ Sun-01-Apr-2018
Mon |Wed |    338|01-04-2019|    1|   1 |      6|No  |LQ  25|1961 2045|--- -- 2nd Quarter Of Year -- ---- @ Mon-01-Apr-2019
Mon |Wed |    338|01-04-2019|    1|   1 |      6|No  |LQ  25|1961 2045|--- Event:- April Fool's Day ---- @ Mon-01-Apr-2019
Wed |Wed |    338|01-04-2020|    0|   0*|      7|Yes |FQ*  8|1961 2045|--- Last -- -- 2nd Quarter Of Year -- ---- @ Wed-01-Apr-2020
Wed |Wed |    338|01-04-2020|    0|   0*|      7|Yes |FQ*  8|1961 2045|--- Last -- Event:- April Fool's Day ---- @ Wed-01-Apr-2020
Mon |Thu |    339|02-04-2001|   19|   4 |     29|No  |FQ   7|2007 2026|Dr Le Seve 13 of 15 Canceled brought forward to 26-03-2001
Mon |Thu |    339|02-04-2007|   13|   3 |     23|No  |O * 14|2007 2026|--- Full Moon * ---- @ Mon-02-Apr-2007 05:16:06p
Tue |Thu |    339|02-04-2019|    1|   1 |      6|No  |LQ  26|2007 2026|--- Event:- International Children's Book Day ---- @ Tue-02-Apr-2019
Thu |Thu |    339|02-04-2020|    0|   0*|      7|Yes |FQ   8|2007 2026|--- Last -- Event:- International Children's Book Day ---- @ Thu-02-Apr-2020
Thu |Fri |    340|03-04-2003|   17|   3 |     23|No  |.    1|1920 2034|Karen Dillon 49th of 62 3.30pm
Sun |Fri |    340|03-04-2011|    9|   2 |     12|No  |. *  0|1920 2034|--- New Moon * ---- @ Sun-03-Apr-2011 02:33:25p
Mon |Mon |    343|06-04-1998|   22|   3*|     29|No  |FQ   8|2012 2023|Jennifer A Light 3rd of 7
Sun |Mon |    343|06-04-2008|   12|   2 |     18|Yes |. *  0|2012 2023|--- New Moon * ---- @ Sun-06-Apr-2008 03:56:23a
Fri |Mon |    343|06-04-2012|    8|   2 |     18|Yes |O * 15|2012 2023|--- Full Moon * ---- @ Fri-06-Apr-2012 07:19:44p
Sun |Tue |    344|07-04-2002|   18|   3 |     23|No  |LQ  23|1955 2031|Cathy-link-worker Fuller  2 of 16
Mon |Tue |    344|07-04-2003|   17|   3 |     23|No  |.    5|1955 2031|Started probation.
Thu |Tue |    344|07-04-2005|   15|   3 |     18|No  |LQ  27|1955 2031|Dental surgrey With Dr Engman Thu 2:40pm left filling
Sun |Tue |    344|07-04-2019|    1|   1 |      6|No  |.    1|1955 2031|--- Event:- World Health Day ---- @ Sun-07-Apr-2019
Tue |Tue |    344|07-04-2020|    0|   0*|      7|Yes |FQ  13|1955 2031|--- Last -- Event:- World Health Day ---- @ Tue-07-Apr-2020
Mon |Wed |    345|08-04-2002|   18|   3 |     23|No  |LQ  24|2001*2058|Addaction 2nd of 2
Mon |Wed |    345|08-04-2002|   18|   3 |     23|No  |LQ  24|2001*2058|Karen Dillon 33rd of 62
Thu |Thu |    346|09-04-2009|   11|   2*|     18|No  |O * 13|2009 2028|--- Full Moon * ---- @ Thu-09-Apr-2009 02:56:58p
Wed |Fri |    347|10-04-2002|   18|   3 |     23|No  |LQ  26|1990 2036|Dr Habgood Cristine 12 of 21
Wed |Fri |    347|10-04-2013|    7|   2 |     12|No  |. *  0|1990 2036|--- New Moon * ---- @ Wed-10-Apr-2013 09:36:29a
Fri |Mon |    350|13-04-1984|   36|   6 |     46|Yes |FQ  11|2006 2025|--- Good Friday, On Friday the 13th ---- @ Fri-13-Apr-1984
Thu |Mon |    350|13-04-1995|   25|   4 |     29|No  |FQ  12|2006 2025|--- Good Friday, On Friday the 13th ---- @ Thu-13-Apr-1995
Sun |Mon |    350|13-04-2014|    6|   1 |     12|No  |FQ  13|2006 2025|--- Last -- Good Friday, On Friday the 13th ---- @ Sun-13-Apr-2014
Tue |Tue |    351|14-04-2009|   11|   2*|     18|No  |O   18|1987 2033|Birthday Marianne Baby Jack
Wed |Tue |    351|14-04-2010|   10|   1 |     12|No  |. *  0|1987 2033|--- New Moon * ---- @ Wed-14-Apr-2010 12:30:03p
Sun |Tue |    351|14-04-2019|    1|   1 |      6|No  |FQ   8|1987 2033|--- Event:- Anniversary of Titanic sinking ---- @ Sun-14-Apr-2019
Tue |Tue |    351|14-04-2020|    0|   0*|      7|Yes |LQ* 21|1987 2033|--- Last -- Event:- Anniversary of Titanic sinking ---- @ Tue-14-Apr-2020
Wed |Wed |    352|15-04-1998|   22|   3*|     29|No  |O   17|2014 2060|Jennifer A Light 4th of 7
Mon |Wed |    352|15-04-2002|   18|   3 |     23|No  |.    2|2014 2060|Dr Habgood Cristine 13 of 21
Mon |Wed |    352|15-04-2002|   18|   3 |     23|No  |.    2|2014 2060|Karen Dillon 34th of 62
Tue |Wed |    352|15-04-2003|   17|   3 |     23|No  |FQ  13|2014 2060|Finish Ltd Eds 2nd time
Fri |Wed |    352|15-04-2005|   15|   3 |     18|No  |.    6|2014 2060|Dental surgrey With Dr Engman emergencey infection
Fri |Wed |    352|15-04-2005|   15|   3 |     18|No  |.    6|2014 2060|Dr El Sayed 19th 2:30pm cancled coz dentist
Tue |Wed |    352|15-04-2014|    6|   1 |     12|No  |O * 15|2014 2060|--- Full Moon * ---- @ Tue-15-Apr-2014 07:43:30a
Thu |Thu |    353|16-04-1998|   22|   3*|     29|No  |O   18|2003 2022|Karen Dillon 02nd of 62
Mon |Fri |    354|17-04-2000|   20|   3 |     24|Yes |FQ  12|1992 2068|Dr Le Seve  8 of 15
Wed |Fri |    354|17-04-2002|   18|   3 |     23|No  |.    4|1992 2068|Cathy-link-worker Fuller  3 of 16
Tue |Fri |    354|17-04-2007|   13|   3 |     23|No  |. *  0|1992 2068|--- New Moon * ---- @ Tue-17-Apr-2007 11:37:11a
Thu |Sat |    355|18-04-2002|   18|   3 |     23|No  |.    5|2011 2030|Dr Habgood Cristine 14 of 21
Mon |Sat |    355|18-04-2011|    9|   2 |     12|No  |O * 14|2011 2030|--- Full Moon * ---- @ Mon-18-Apr-2011 02:45:03a
Thu |Sat |    355|18-04-2019|    1|   1 |      6|No  |FQ  12|2011 2030|--- Event:- Record Store Day - UK ---- @ Thu-18-Apr-2019
Sat |Sat |    355|18-04-2020|    0|   0*|      7|Yes |LQ  24|2011 2030|--- Last -- Event:- Record Store Day - UK ---- @ Sat-18-Apr-2020
Mon |Sun |    356|19-04-1999|   21|   3 |     23|No  |.    2|2019 2038|Dr Le Seve  3 of 15 11am mill view blew him out mi5 letter style
Fri |Sun |    356|19-04-2019|    1|   1 |      6|No  |O * 14|2019 2038|--- Event:- Patriot's Day ---- @ Fri-19-Apr-2019
Sun |Sun |    356|19-04-2020|    0|   0*|      7|Yes |LQ  25|2019 2038|--- Last -- Event:- Patriot's Day ---- @ Sun-19-Apr-2020
Mon |Mon |    357|20-04-1998|   22|   3*|     29|No  |LQ  22|2008 2027|Start Ltd Eds Limited Editions first time
Sun |Mon |    357|20-04-2008|   12|   2 |     18|Yes |O * 14|2008 2027|--- Full Moon * ---- @ Sun-20-Apr-2008 10:26:30a
Sat |Mon |    357|20-04-2019|    1|   1 |      6|No  |O   14|2008 2027|--- Event:- 2nd Sign Taurus Apr20 May20 Earth Sign Ruled by Venus: The bull ---- @ Sat-20-Apr-2019
Sat |Mon |    357|20-04-2019|    1|   1 |      6|No  |O   14|2008 2027|--- Event:- Jewish Passover ---- @ Sat-20-Apr-2019
Mon |Mon |    357|20-04-2020|    0|   0*|      7|Yes |LQ  26|2008 2027|--- Last -- Event:- 2nd Sign Taurus Apr20 May20 Earth Sign Ruled by Venus: The bull ---- @ Mon-20-Apr-2020
Mon |Mon |    357|20-04-2020|    0|   0*|      7|Yes |LQ  26|2008 2027|--- Last -- Event:- Jewish Passover ---- @ Mon-20-Apr-2020
Wed |Tue |    358|21-04-1926|   94|  13 |     96|No  |FQ   8|1989 2122|Birthday - Queen E. II
Tue |Tue |    358|21-04-1998|   22|   3*|     29|No  |LQ  23|1989 2122|Jennifer A Light 5th of 7
Tue |Tue |    358|21-04-2009|   11|   2*|     18|No  |LQ  25|1989 2122|Buy From Vodafone BlackBerry 9000 Bold -- But Returned Within 14 Days £340 Ebay
Sat |Tue |    358|21-04-2012|    8|   2 |     18|Yes |. *  0|1989 2122|--- New Moon * ---- @ Sat-21-Apr-2012 07:19:35a
Mon |Wed |    359|22-04-2002|   18|   3 |     23|No  |FQ   9|2016 2035|Karen Dillon 35th of 62
Mon |Wed |    359|22-04-2019|    1|   1 |      6|No  |O   16|2016 2035|--- Event:- Earth Day ---- @ Mon-22-Apr-2019
Mon |Wed |    359|22-04-2019|    1|   1 |      6|No  |O   16|2016 2035|--- Event:- Earth Day ---- @ Mon-22-Apr-2019
Wed |Wed |    359|22-04-2020|    0|   0*|      7|Yes |LQ  28|2016 2035|--- Event:- Earth Day ---- @ Wed-22-Apr-2020
Wed |Wed |    359|22-04-2020|    0|   0*|      7|Yes |LQ  28|2016 2035|--- Last -- Event:- Earth Day ---- @ Wed-22-Apr-2020
Sun |Thu |    360|23-04-1922|   98|  14 |    102|No  |LQ  25|1978 2024|Birthday Grandad
Mon |Thu |    360|23-04-2001|   19|   4 |     29|No  |. *  0|1978 2024|Karen Dillon 27th of 62 3pm home
Tue |Thu |    360|23-04-2019|    1|   1 |      6|No  |O   17|1978 2024|--- Event:- St George Day - Grandad Birthday ---- @ Tue-23-Apr-2019
Thu |Thu |    360|23-04-2020|    0|   0*|      7|Yes |. *  0|1978 2024|--- Last -- Event:- St George Day - Grandad Birthday ---- @ Thu-23-Apr-2020
Thu |Thu |    360|23-04-2020|    0|   0*|      7|Yes |. *  0|1978 2024|The Big Night In will air on BBC One on Thursday 23rd April 2020 at 7pm -- SINGLE SCHEDULE
Tue |Sat |    362|25-04-1284|  736| 103 |    740|Yes |.   10|   N/A   |Birthday - King Edward II
Sat |Sat |    362|25-04-2009|   11|   2*|     18|No  |. *  0|2013 2032|--- New Moon * ---- @ Sat-25-Apr-2009 03:23:39a
Sun |Sat |    362|25-04-2010|   10|   1 |     12|No  |FQ  10|2013 2032|Sunday Call Voda - Police - BT
Thu |Sat |    362|25-04-2013|    7|   2 |     12|No  |O * 15|2013 2032|--- Full Moon * ---- @ Thu-25-Apr-2013 07:58:13p
Thu |Sat |    362|25-04-2019|    1|   1 |      6|No  |O   19|2013 2032|--- Event:- International Noise Awareness Day ---- @ Thu-25-Apr-2019
Thu |Sat |    362|25-04-2019|    1|   1 |      6|No  |O   19|2013 2032|--- Event:- The Feast of St. Mark ---- @ Thu-25-Apr-2019
Sat |Sat |    362|25-04-2020|    0|   0*|      7|Yes |.    1|2013 2032|--- Last -- Event:- International Noise Awareness Day ---- @ Sat-25-Apr-2020
Sat |Sat |    362|25-04-2020|    0|   0*|      7|Yes |.    1|2013 2032|--- Last -- Event:- The Feast of St. Mark ---- @ Sat-25-Apr-2020
Fri |Sun |    363|26-04-2019|    1|   1 |      6|No  |LQ* 21|1964 2051|--- Event:- John Vousden Sister's Husband ---- @ Fri-26-Apr-2019
Sun |Sun |    363|26-04-2020|    0|   0*|      7|Yes |.    2|1964 2051|--- Last -- Event:- John Vousden Sister's Husband ---- @ Sun-26-Apr-2020
Sun |Sun |    363|26-04-2020|    0|   0*|      7|Yes |.    2|1964 2051|--- Last -- Event:- London Marathon Last Sunday In April ---- @ Sun-26-Apr-2020
Tue |Mon |    364|27-04-2004|   16|   2 |     18|Yes |FQ*  8|2002 2021|Rachel Robinson link worker 3 of 4 11.30am
Wed |Mon |    364|27-04-2005|   15|   3 |     18|No  |O   18|2002 2021|Reg Philips Died Liz Costa Told
Mon |Mon |    364|27-04-2015|    5|   1*|     12|No  |FQ   8|2002 2021|Tue    Voda Arrive Aymer Road Royal Mail
Thu |Tue |    365|28-04-1442|  578|  84 |    581|No  |FQ  17|   N/A   |Birthday - King Edward IV
Wed |Tue |    365|28-04-1971|   49|   7 |     51|No  |.    2|2010 2029|Birthday Jez Ring
Wed |Tue |    365|28-04-1971|   49|   7 |     51|No  |.    2|2010 2029|Birthday Jez Ring
Sat |Tue |    365|28-04-1979|   41|   7 |     51|No  |.    1|2010 2029|Mark Nicklen Birthday
Wed |Tue |    365|28-04-2010|   10|   1 |     12|No  |O * 13|2010 2029|--- Full Moon * ---- @ Wed-28-Apr-2010 12:19:30p
Sun |Tue |    365|28-04-2019|    1|   1 |      6|No  |LQ  22|2010 2029|--- Event:- London Marathon Last Sunday In April ---- @ Sun-28-Apr-2019
Mon |Wed |    366|29-04-2002|   18|   3 |     23|No  |O   16|1953 2037|Dr Habgood Cristine 15 of 21
Wed |Wed |    366|29-04-2009|   11|   2*|     18|No  |.    3|1953 2037|Buy From Vodafone Sony Ericsson X1 Xperia -- £420 On Ebay
Tue |Wed |    366|29-04-2014|    6|   1 |     12|No  |. *  0|1953 2037|--- New Moon * ---- @ Tue-29-Apr-2014 06:15:25a
Sun |Wed |    366|29-04-2018|    2|   1 |     12|No  |FQ  12|1953 2037|--- Event:- London Marathon Last Sunday In April ---- @ Sun-29-Apr-2018
Fri |Fri |    246|01-01-2021|   -1|   0*|      6|No  |O   17|   N/A   |--- Next -- -- 1st Quarter Of Year -- ---- @ Fri-01-Jan-2021
Fri |Fri |    246|01-01-2021|   -1|   0*|      6|No  |O   17|   N/A   |--- Next -- Event:- Circumcision ---- @ Fri-01-Jan-2021
Fri |Fri |    246|01-01-2021|   -1|   0*|      6|No  |O   17|   N/A   |--- Next -- Event:- New Years Day ---- @ Fri-01-Jan-2021
Fri |Fri |    246|01-01-2021|   -1|   0*|      6|No  |O   17|   N/A   |--- Next -- Event:- New Year's Day ---- @ Fri-01-Jan-2021
Wed |Wed |    251|06-01-2021|   -1|   0*|      6|No  |LQ* 22|   N/A   |--- Next -- Event:- Epiphany ---- @ Wed-06-Jan-2021
Wed |Wed |    251|06-01-2021|   -1|   0*|      6|No  |LQ* 22|   N/A   |--- Next -- Event:- Three King's Day ---- @ Wed-06-Jan-2021
Thu |Thu |    252|07-01-2021|   -1|   0*|      6|No  |LQ  23|   N/A   |--- Next -- Event:- Coptic Christian Christmas ---- @ Thu-07-Jan-2021
Fri |Fri |    253|08-01-2021|   -1|   0*|      6|No  |LQ  24|   N/A   |--- Next -- Event:- Elvis Presley's official Birthday ---- @ Fri-08-Jan-2021
Wed |Wed |    265|20-01-2021|   -1|   0*|      6|No  |FQ*  7|   N/A   |--- Next -- Event:- 11th Sign Aquarius Jan20 Feb18 Air Sign Ruled by Uranus: The Water Bearer ---- @ Wed-20-Jan-2021
Wed |Wed |    265|20-01-2021|   -1|   0*|      6|No  |FQ*  7|   N/A   |--- Next -- Event:- Reindeer Day ---- @ Wed-20-Jan-2021
Mon |Mon |    270|25-01-2021|   -1|   0*|      6|No  |FQ  11|   N/A   |--- Next -- Event:- Converstion of St Paul ---- @ Mon-25-Jan-2021
Mon |Mon |    270|25-01-2021|   -1|   0*|      6|No  |FQ  11|   N/A   |--- Next -- Event:- Robert Burns' Day - Scotland's national poet ---- @ Mon-25-Jan-2021
Mon |Mon |    270|25-01-2021|   -1|   0*|      6|No  |FQ  11|   N/A   |--- Next -- Event:- The Start of the Chinese New Year. ---- @ Mon-25-Jan-2021
Tue |Tue |    271|26-01-2021|   -1|   0*|      6|No  |FQ  12|   N/A   |--- Next -- Event:- Australia Day ---- @ Tue-26-Jan-2021
Tue |Tue |    271|26-01-2021|   -1|   0*|      6|No  |FQ  12|   N/A   |--- Next -- Event:- Indian Republic Day ---- @ Tue-26-Jan-2021
Tue |Tue |    278|02-02-2021|   -1|   0*|      6|No  |O   19|   N/A   |--- Next -- Event:- Groundhog Day ---- @ Tue-02-Feb-2021
Sat |Sat |    282|06-02-2021|   -1|   0*|      6|No  |LQ  23|   N/A   |--- Next -- Event:- Waitangi Day - New Zealand ---- @ Sat-06-Feb-2021
Sun |Sun |    290|14-02-2021|   -1|   0*|      6|No  |.    2|   N/A   |--- Next -- Event:- St Valentine ---- @ Sun-14-Feb-2021
Sun |Sun |    290|14-02-2021|   -1|   0*|      6|No  |.    2|   N/A   |--- Next -- Event:- St Valentine's Day ---- @ Sun-14-Feb-2021
Fri |Fri |    295|19-02-2021|   -1|   0*|      6|No  |FQ*  7|   N/A   |--- Next -- Event:- 12th Sign Pisces Feb19 Mar20 Water Sign Ruled by Neptune: The fish ---- @ Fri-19-Feb-2021
Sun |Sun |    297|21-02-2021|   -1|   0*|      6|No  |FQ   9|   N/A   |--- Next -- Event:- International Mother Language Day ---- @ Sun-21-Feb-2021
Wed |Wed |    300|24-02-2021|   -1|   0*|      6|No  |FQ  12|   N/A   |--- Next -- Event:- St Matthias ---- @ Wed-24-Feb-2021
Mon |Mon |    305|01-03-2021|   -1|   0*|      6|No  |O   17|   N/A   |--- Next -- Event:- St. David's Day - Wales ---- @ Mon-01-Mar-2021
Mon |Mon |    305|01-03-2021|   -1|   0*|      6|No  |O   17|   N/A   |--- Next -- Event:- Start of Season Spring Mar to May  -- Amature Stuff ---- @ Mon-01-Mar-2021
